period,shortrate,gdp_rpc,conso_rpc,inves_rpc,defgdp,wage_rph,hours_pc,pinves_defl,pconso_defl,employ
1999Q3,0.026994,0.0107690430231857,0.00925759207830704,0.0153485954213751,0.00191183557626499,0.0108783407146276,-0.00113044488958663,0.00271901853129905,0.00178566633306158,0.0052800220675026
1999Q4,0.034306,0.0108893245667813,0.00732980500743973,0.00899669861440302,0.00297078944353594,0.00377875837626776,0.00567968871031703,-4.93734014015085e-05,0.00142612133320533,0.00386128887954438
2000Q1,0.035486,0.0117477630524916,0.00869017796802702,0.0160436742583798,0.00387441546101738,0.00510316972978198,0.00549202826525208,0.00741421406709275,0.0034476777142167,0.0062679536847175
2000Q2,0.042848,0.00853143252448223,0.00583826320009749,0.00857489126218905,0.00343540746357946,0.00425809993717611,0.0031036573508181,0.00318875954287352,0.0022698917862058,0.00549605805958706
2000Q3,0.047388,0.00496560839098645,0.00274345950429249,0.0104085000875523,0.00467886602399733,0.00531172825966488,0.00275973196759115,0.000406142997874526,0.00309057996190981,0.00455092109533678
2000Q4,0.050282,0.00614892028374454,0.00115532549166759,0.00103150110471133,0.00507719126678547,0.00224335240248512,0.00321769843053336,0.00222509162388447,0.00213058736698931,0.00364413505463519
2001Q1,0.047447,0.00920704895835799,0.0106123923123053,0.00754491562415465,0.00765114673551973,-0.00152573407371655,0.00136468607539684,-0.00694387477176572,-0.00395353523236143,0.00154555798333438
2001Q2,0.045885,0.000184485639565637,0.000599888409358835,-0.0028524248641842,0.00570018643934432,0.00677161106062413,-0.0039684164204651,-0.00160784445090988,0.00367319727349705,0.000402186479868736
2001Q3,0.042779,0.000118886840139891,0.00128774791099384,-0.00836714257283906,0.00703280929520578,0.0019012139587287,-0.000164330886408445,-0.00251310697340489,-0.00257258783433608,0.00124926513821024
2001Q4,0.034522,0.000281086402532398,0.00180219886451477,-0.0038531144885678,0.00760237237155246,-7.31009009803895e-06,0.000868522815164904,-0.0062247687166815,-0.00491701999123952,0.00126495852994786
2002Q1,0.033615,0.000582882479240717,-0.00083178235612115,-0.00273423698988161,0.00727859409436176,0.00255871950450255,-0.00161831960823937,-0.00261120895472379,-0.00162661837863233,0.00233465593543531
2002Q2,0.034461,0.00431707310796479,-0.00112893387935195,-0.0119715802715507,0.00226807322657809,0.00392779599572927,0.000588464069053697,0.00404065776870548,0.0024137627483579,0.000469851071758404
2002Q3,0.033589,0.00278780023257555,0.00503125844988123,0.00291149422000914,0.00750800961272261,0.000214162041256748,-0.000581420388356781,-0.00687355404081916,-0.00379442532658773,0.000560971386049403
2002Q4,0.031162,0.00153216411499834,0.00531149479689488,0.00554880700230117,0.0035386511047424,0.00369429427762146,-0.000990732026806942,0.00152255414101957,0.00171312307043765,-0.00069202939153212
2003Q1,0.026854,-0.00412976998073092,-0.00161931684200158,-0.00221645576879354,0.00658579261795897,-0.00360798385378127,0.000124223081292823,-0.00371003804247547,0.00283486515488103,-0.000299454053626077
2003Q2,0.023591,-1.64984506487725e-05,0.000960731456265942,0.00166379741758999,0.0062041680756563,0.000767505258079667,-0.00217739246358476,-0.00527789796168694,-0.00416937122264544,0.000833801920291455
2003Q3,0.021391,0.00423583228373693,0.00462738245934347,0.00624710314263573,0.0067938711781029,0.00482801597679177,0.00108912433755433,-0.00256225554040937,-0.00212610084946588,0.000285632667165229
2003Q4,0.021493,0.00637245629730901,0.00198604967570124,0.00910421803099984,0.00165770647280322,-0.00146573071703893,0.000972272142348609,0.0019098304867436,0.00303337893506296,0.000986808888420143
2004Q1,0.020618,0.00404173690465775,0.00482942630368108,-0.000574459991308754,0.00540204001303872,0.00373869171668034,-0.00249725704052688,-8.57665201678216e-05,-0.000576100813617197,0.000390961779886297
2004Q2,0.020834,0.00512515551133443,0.00105686912813048,0.00618644085906533,0.00610346684048232,-0.00138402879067433,0.0030672409381579,0.00388673837382868,0.00106982094528745,0.00137987380284435
2004Q3,0.021163,0.00124743213062121,0.000247148617107904,0.00051249719786544,0.00346789237050675,0.000891948249471522,-0.000508515133231928,0.0036659724035993,0.00141124793650933,0.00140914385416444
2004Q4,0.02164,0.00296242282592752,0.00804778909478296,0.00282017542478158,0.00523423231531374,-0.000340241154151772,0.00106042508928777,0.00171695521370158,-0.00122678613917928,0.00157316449307771
2005Q1,0.021404,0.00104888899895126,0.00263103597013295,0.00269800959969119,0.00409347695776039,0.00316923615532782,-0.000978655539254854,-0.00153076898512087,1.86783695909816e-05,0.000397201963154297
2005Q2,0.021244,0.00513930595151272,0.00483308503387194,0.0159547768554031,0.00467491711365911,-0.00455656355657949,0.00747744836874533,0.00145765280900744,-0.000437553045173954,0.00204889444906244
2005Q3,0.021305,0.0063312786107604,0.00443117839996118,0.0103109352321645,0.00394952934651591,0.00578601808713438,-0.0012481524151914,0.00257961372264879,0.00389731859311111,0.00180471601289006
2005Q4,0.023437,0.00540837150631751,0.00344130890258977,0.00680136946513715,0.00722920714207635,-0.00047121810777829,0.00560739111661059,-0.000526914091865882,-0.00308581629608794,0.00353796788695907
2006Q1,0.026136,0.00769793371298723,0.00405232595568858,0.0111721375994178,0.00309149120724335,-0.000500678184786602,0.00417791049166424,0.00380160758314464,0.00347240095309078,0.00317291369911012
2006Q2,0.028957,0.0100897453105248,0.00439699937376477,0.0226359822073138,0.00576025531388489,0.00111076708037627,0.00387123008633495,0.00262538169503877,0.00142125758658621,0.00471186342703974
